course_title,subject,number,co_requisites,prerequisites,college,department,credit_hours,id
INTERPERSON COMM,COM,203L,,,Communication and The Arts CO,School Communication Arts CO,3,48
ENTERPRISE ARCHITECTURE,MSIS,621L,,,MSCS Computer Science CS,MSCS Computer Science CS,3,49
MULTI-CAMERA PRODUCTION,MDIA,403N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Communication', '287L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Media Studies & Production', '203L', 'Undergraduate', 'D', '']]",Communication and The Arts CO,School Communication Arts CO,3,50
SOCIAL PSYCHOLOGY,PSYC,220L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Psychology', '101L', 'Undergraduate', 'D', '']]",Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,51
COST ACCTING,ACCT,310N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Accounting', '204N', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,52
DECISION SUPP SYS,MSIS,637L,,,MSCS Computer Science CS,MSCS Computer Science CS,3,53
KARATE I,PHED,146N,,,Science SI,School of Science SI,1,54
GENETICS,BIOL,320L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Biology', '130L', 'Undergraduate', 'C', ''], ['And', '', '', '', 'Biology', '131L', 'Undergraduate', 'C', ''], ['And', '', '', '', 'Chemistry', '131L', 'Undergraduate', 'D', ''], ['Or', '(', '', '', 'Chemistry', '111L', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Chemistry', '115L', 'Undergraduate', 'D', ')'], ['And', '', '', '', 'Chemistry', '132L', 'Undergraduate', 'D', ''], ['Or', '(', '', '', 'Chemistry', '112L', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Chemistry', '116L', 'Undergraduate', 'D', ')']]",Science SI,School of Science SI,4,55
NONFICTION WKSHOP,ENG,380L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'English', '280L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'English', '222L', 'Undergraduate', 'D', '']]",Liberal Arts LA,School of Liberal Arts LA,3,56
CRIMINAL LAW+PROCEDURES,CRJU,306L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Criminal Justice', '101L', 'Undergraduate', 'D', '']]",Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,57
FRAUD EXAMINATION,ACCT,315N,,,Management SM,School of Management SM,3,58
WRITING ADVERT,COM,210L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '(', '', '', 'Communication', '110L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Communication', '220L', 'Undergraduate', 'D', ')']]",Communication and The Arts CO,School Communication Arts CO,3,59
DATA MINING & PRED ANALYTICS,MSIS,645L,,,MSCS Computer Science CS,MSCS Computer Science CS,3,60
DIGITAL FILMMAKING,MDIA,405L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '(', '', '', 'Media Studies & Production', '203L', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Media Studies & Production', '302N', 'Undergraduate', 'D', ')'], ['Or', '(', '', '', 'Communication', '287L', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Communication', '398N', 'Undergraduate', 'D', ')']]",Communication and The Arts CO,School Communication Arts CO,3,61
PSYC OF ART & HUMAN CREATIVITY,PSYC,221L,,,Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,62
HATHA YOGA,PHED,147N,,,Science SI,School of Science SI,1,63
INTRO TO PUBLIC RELATIONS,COM,211L,,,Communication and The Arts CO,School Communication Arts CO,3,64
CRIMINAL JUSTICE ETHICS,CRJU,310L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Criminal Justice', '101L', 'Undergraduate', 'D', '']]",Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,65
WORKSHOP FICTION,ENG,382L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'English', '280L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'English', '222L', 'Undergraduate', 'D', '']]",Liberal Arts LA,School of Liberal Arts LA,3,66
MSIS INTERNSHIP,MSIS,692N,,,MSCS Computer Science CS,MSCS Computer Science CS,1,67
FIN STATMNT ANAL,ACCT,330N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Accounting', '204N', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Business', '320N', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,68
TOPICS: INTERACTMEDIA GAME DEV,MDIA,411L,,,Communication and The Arts CO,School Communication Arts CO,3,69
COMMUNITY PSYCH,PSYC,222L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Psychology', '101L', 'Undergraduate', 'D', '']]",Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,70
ST:GENDER PERSP:CONT LIT,ENG,391L,,,Liberal Arts LA,School of Liberal Arts LA,2,71
MSIS INTERNSHIP,MSIS,695N,,,MSCS Computer Science CS,MSCS Computer Science CS,3,72
FLY FISHING,PHED,160N,,,Science SI,School of Science SI,1,73
TOPICS IN TELEVISION-HORROR,MDIA,421L,,,Communication and The Arts CO,School Communication Arts CO,3,74
RACE AND CRIME,CRJU,314L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Criminal Justice', '101L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Criminal Justice', '290L', 'Undergraduate', 'D', '']]",Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,75
ACCOUNT INTERN,ACCT,380N,,,Management SM,School of Management SM,2,76
EVOLUTION,BIOL,321L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Biology', '130L', 'Undergraduate', 'C', ''], ['And', '', '', '', 'Biology', '131L', 'Undergraduate', 'C', ''], ['And', '', '', '', 'Chemistry', '131L', 'Undergraduate', 'D', ''], ['Or', '(', '', '', 'Chemistry', '111L', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Chemistry', '115L', 'Undergraduate', 'D', ')'], ['And', '', '', '', 'Chemistry', '132L', 'Undergraduate', 'D', ''], ['Or', '(', '', '', 'Chemistry', '112L', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Chemistry', '116L', 'Undergraduate', 'D', ')']]",Science SI,School of Science SI,3,77
FORENSIC PSYCHOLOGY,PSYC,225L,,,Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,78
ST:HARRY POTTER:MAG/MYTH&MEAN,ENG,392L,,,Liberal Arts LA,School of Liberal Arts LA,3,79
INFO SYST PROJ,MSIS,720L,,,MSCS Computer Science CS,MSCS Computer Science CS,3,80
FLAMENCO,PHED,230N,,,Science SI,School of Science SI,3,81
PUBLI RELATION WRITING TOOL,COM,212L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Communication', '102L', 'Undergraduate', 'D', '']]",Communication and The Arts CO,School Communication Arts CO,3,82
ACCOUNT INTERN,ACCT,397N,,,Management SM,School of Management SM,3,83
TOPICS IN GLOBAL CINEMA,MDIA,422L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Media Studies & Production', '120L', 'Undergraduate', 'D', '']]",Communication and The Arts CO,School Communication Arts CO,3,84
SEMINAR ENG LIT,ENG,427L,,,Liberal Arts LA,School of Liberal Arts LA,3,85
INTRO TO ART THERAPY,PSYC,270L,,,Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,86
ORGANIZED CRIME,CRJU,350L,,,Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,87
INFO SYS POLICY,MSIS,730L,,,MSCS Computer Science CS,MSCS Computer Science CS,3,88
LIFE GUARD TRAINING,PHED,240N,,,Science SI,School of Science SI,2,89
MEDIA INTERNSHIP,MDIA,460N,,,Communication and The Arts CO,School Communication Arts CO,9,90
CAPPING,ENG,477L,,,Liberal Arts LA,School of Liberal Arts LA,3,91
ECOLOGY:PRIN&PRACT,BIOL,360L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Biology', '130L', 'Undergraduate', 'C', ''], ['And', '', '', '', 'Biology', '131L', 'Undergraduate', 'C', ''], ['And', '', '', '', 'Chemistry', '131L', 'Undergraduate', 'D', ''], ['Or', '(', '', '', 'Chemistry', '111L', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Chemistry', '115L', 'Undergraduate', 'D', ')']]",Science SI,School of Science SI,4,92
ADVANCED ACCTING,ACCT,401N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Accounting', '302N', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,93
SPORTS IN SOCIETY,PHED,301L,,,Science SI,School of Science SI,3,94
ST: EMOTIONS IN MARKETING,PSYC,291L,,,Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,95
INTEGRAT LEARNG THEORIES,MSED,510L,,,MS Education BE,MS Education BE,3,96
ENGLISH INTERN,ENG,486N,,,Liberal Arts LA,School of Liberal Arts LA,3,97
CJ RES METH,CRJU,374L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Criminal Justice', '101L', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Mathematics', '130L', 'Undergraduate', 'D', '']]",Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,98
MEDIA STUDIES CAPPING,MDIA,480L,,,Communication and The Arts CO,School Communication Arts CO,3,99
ST: INTRO TO ECOLOGY,BIOL,392L,,,Science SI,School of Science SI,3,100
BASKETBALL COACHG,PHED,311N,,,Science SI,School of Science SI,2,101
INTRO TO STRATEGIC ADVERTISING,COM,220L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'English', '117L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'English-ESOL', '117L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'English', '120L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'English-Honors', '120L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'English-ESOL', '120L', 'Undergraduate', 'D', '']]",Communication and The Arts CO,School Communication Arts CO,3,102
VISUAL MODELS-UNSTND MATH,MSED,581L,,,MS Education BE,MS Education BE,3,103
ENGLISH INTERN,ENG,487N,,,Liberal Arts LA,School of Liberal Arts LA,1,104
AUDITING,ACCT,402N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Accounting', '302N', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,105
MEDIA IN BRITAIN,IMDA,110L,,,Communication and The Arts CO,School Communication Arts CO,3,106
ST: RESTORATIVE JUSTICE,CRJU,393L,,,Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,107
PSYCHOBIOLOGY+LAB,PSYC,301L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Psychology', '101L', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Psychology', '350L', 'Undergraduate', 'D', '']]",Behavioral and Social Science SB,School Behavioral/Social Sci SB,4,108
BASEBALL COACHING,PHED,313N,,,Science SI,School of Science SI,2,109
