course_title,subject,number,co_requisites,prerequisites,college,department,credit_hours,id
CAPPING COURSE,SPAN,477L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Spanish', '315L', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Spanish', '250L', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Spanish', '260L', 'Undergraduate', 'D', ''], ['And', '(', '', '', 'Spanish', '270L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Spanish', '354L', 'Undergraduate', 'D', ')']]",Liberal Arts LA,School of Liberal Arts LA,3,930
COMIC ART,STUD,281N,,,Communication and The Arts CO,School Communication Arts CO,3,931
INTEN BEGINNING SPAN I,ISPA,103L,,,Liberal Arts LA,School of Liberal Arts LA,4,932
INTERN POL SCI,POSC,380N,,,Liberal Arts LA,School of Liberal Arts LA,6,933
SYS-INFO CON ORG,MSIS,527L,,,MSCS Computer Science CS,MSCS Computer Science CS,3,934
CAREER PLANNING,CRDV,105N,,,Communication and The Arts CO,School Communication Arts CO,1,935
ST:CLO 3D DESIGN,FASH,382N,,,Communication and The Arts CO,School Communication Arts CO,3,936
INTER DIGITAL PHOTO,STUD,293N,,,Communication and The Arts CO,School Communication Arts CO,3,937
INTERN IN POL SCI,POSC,384N,,,Liberal Arts LA,School of Liberal Arts LA,4,938
TERRORISM IN SPAIN+ THE WORLD,ISPA,312L,,,Liberal Arts LA,School of Liberal Arts LA,3,939
MS EXCEL,CMPT,105N,,,Computer Science/ Mathematics CC,School Computer Sci/ Math CC,1,940
FASHION INTERN,FASH,387N,,,Communication and The Arts CO,School Communication Arts CO,12,941
ETHICS,PHIL,200L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Philosophy', '101L', 'Undergraduate', 'D', '']]",Liberal Arts LA,School of Liberal Arts LA,3,942
ANLYTCL FIG+OBJCT DRAW,STUD,300N,,,Communication and The Arts CO,School Communication Arts CO,3,943
INTERN IN POL SCI,POSC,390N,,,Liberal Arts LA,School of Liberal Arts LA,1,944
RELIGION & SOCIETY IN SPAIN,ISPA,313L,,,Liberal Arts LA,School of Liberal Arts LA,3,945
FASH INTERN,FASH,393N,,,Communication and The Arts CO,School Communication Arts CO,5,946
GEN CHEMISTRY I,CHEM,111L,,,Science SI,School of Science SI,3,947
JEWELRY LAB+TECH I,STUD,330N,,,Communication and The Arts CO,School Communication Arts CO,3,948
INTRO PROGRAMMING I,CMPT,106L,,,Computer Science/ Mathematics CC,School Computer Sci/ Math CC,2,949
ST: CITY POLITICS,POSC,391L,,,Liberal Arts LA,School of Liberal Arts LA,3,950
COLLOQUIAL SPANISH,ISPA,320L,,,Liberal Arts LA,School of Liberal Arts LA,3,951
FASH INTERNSHIP,FASH,394N,,,Communication and The Arts CO,School Communication Arts CO,1,952
IRELAND'S MEDIA,MDIA,106L,,,Communication and The Arts CO,School Communication Arts CO,4,953
INTRO TO LOGIC,PHIL,203L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Philosophy', '101L', 'Undergraduate', 'D', '']]",Liberal Arts LA,School of Liberal Arts LA,3,954
INTRO TO PROGRAMMING,CMPT,120L,,,Computer Science/ Mathematics CC,School Computer Sci/ Math CC,4,955
RENEWABLE ENERGIES - SPAIN,ISPA,352L,,,Liberal Arts LA,School of Liberal Arts LA,3,956
ADVANCD WRKSHP-JEWELRY,STUD,335N,,,Communication and The Arts CO,School Communication Arts CO,3,957
ST:POLITICS OF MISINFO+CONCPTS,POSC,392L,,,Liberal Arts LA,School of Liberal Arts LA,3,958
FASH INTERN,FASH,396N,,,Communication and The Arts CO,School Communication Arts CO,3,959
INTRO TO DESIGN,MDIA,110L,,,Communication and The Arts CO,School Communication Arts CO,3,960
FOUND OF COGNITIVE SCIENCES,PHIL,205L,,,Liberal Arts LA,School of Liberal Arts LA,3,961
INTRO TO THEATRE,ENG,150L,,,Liberal Arts LA,School of Liberal Arts LA,3,962
INTRO TO WGSS,WMST,130L,,,Liberal Arts LA,School of Liberal Arts LA,3,963
WAX CARVING & CASTING TECH,STUD,370N,,,Communication and The Arts CO,School Communication Arts CO,3,964
ART OF FILM,MDIA,120L,,,Communication and The Arts CO,School Communication Arts CO,3,965
LIT & GENDER,WMST,220L,,,Liberal Arts LA,School of Liberal Arts LA,3,966
"ST:SOCIETY, SPACE & PLACE",POSC,393L,,,Liberal Arts LA,School of Liberal Arts LA,3,967
STONE SETTING II,STUD,380N,,,Communication and The Arts CO,School Communication Arts CO,3,968
ANCIENT PHILOSOPHY,PHIL,210L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Philosophy', '101L', 'Undergraduate', 'D', '']]",Liberal Arts LA,School of Liberal Arts LA,3,969
FASH INTERNSHIP,FASH,397N,,,Communication and The Arts CO,School Communication Arts CO,6,970
HIST AMER PRESIDE,HIST,312L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '(', '', '', 'History', '123L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '124L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '101L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '130L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '135L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '140L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '141L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '142L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '201L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '205L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '210L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '215L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '216L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '217L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '218L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '219L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '220L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '222L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '223L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '225L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '226L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '227L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '228L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '229L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '230L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '232L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '234L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '236L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '240L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '242L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '244L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '247L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '248L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '249L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '250L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '251L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '252L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '255L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '256L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '258L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '260L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '261L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '262L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '263L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '266L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '267L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '268L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '269L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '270L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '271L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '272L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '274L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '275L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '280L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '285L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '286L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '292L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '293L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '294L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '295L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '296L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '297L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '298L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '299L', 'Undergraduate', 'D', ')'], ['And', '(', '', '', 'History', '201L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '205L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '210L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '215L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '216L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '217L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '218L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '219L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '220L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '222L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '223L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '225L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '226L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '227L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '228L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '229L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '230L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '232L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '234L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '236L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '240L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '242L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '244L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '247L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '248L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '249L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '250L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '251L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '252L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '255L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '256L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '258L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '260L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '261L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '262L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '263L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '266L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '267L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '268L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '269L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '270L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '271L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '272L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '274L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '275L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '280L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '285L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '286L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '292L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '293L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '294L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '295L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '296L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '297L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '298L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '299L', 'Undergraduate', 'D', ')']]",Liberal Arts LA,School of Liberal Arts LA,3,971
GEN CHEMISTRY LAB I,CHEM,115L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Chemistry', '111L', 'Undergraduate', 'D', '']]",Science SI,School of Science SI,1,972
INTERN IN POL SCI,POSC,395N,,,Liberal Arts LA,School of Liberal Arts LA,3,973
WORLD LITERATURE,ENG,170L,,,Liberal Arts LA,School of Liberal Arts LA,3,974
MODERN PHILOSOPHY,PHIL,211L,,,Liberal Arts LA,School of Liberal Arts LA,3,975
FASH INTERN,FASH,398N,,,Communication and The Arts CO,School Communication Arts CO,9,976
"GENDER,CULT,COMM",WMST,400L,,,Liberal Arts LA,School of Liberal Arts LA,3,977
SOFTWARE DEVELOPMENT I,CMPT,220L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Computing Technology', '120L', 'Undergraduate', 'D', ''], ['Or', '(', '', '', 'Computing Technology', '106L', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Computing Technology', '107L', 'Undergraduate', 'D', ')']]",Computer Science/ Mathematics CC,School Computer Sci/ Math CC,4,978
INTERN IN POL SCI,POSC,396N,,,Liberal Arts LA,School of Liberal Arts LA,3,979
SOCIAL&POLITICAL PHILOSOPHY,PHIL,234L,,,Liberal Arts LA,School of Liberal Arts LA,3,980
WRITING FOR MEDIA,MDIA,201L,,,Communication and The Arts CO,School Communication Arts CO,3,981
INTENSIVE HIST OF WEST ART II,IART,181L,,,Communication and The Arts CO,School Communication Arts CO,4,982
INTERN IN POL SCI,POSC,398N,,,Liberal Arts LA,School of Liberal Arts LA,3,983
INTRO WRITNG DISC,ENG,185L,,,Liberal Arts LA,School of Liberal Arts LA,3,984
FASH INTERN,FASH,399N,,,Communication and The Arts CO,School Communication Arts CO,2,985
PRAGMATISM,PHIL,240L,,,Liberal Arts LA,School of Liberal Arts LA,3,986
SOFTWARE DEVELOPMENT II,CMPT,221L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Computing Technology', '220L', 'Undergraduate', 'D', '']]",Computer Science/ Mathematics CC,School Computer Sci/ Math CC,4,987
HISTORY OF SPANISH ART,IART,202L,,,Communication and The Arts CO,School Communication Arts CO,3,988
INTRO LINGUISTIC,ENG,201L,,,Liberal Arts LA,School of Liberal Arts LA,3,989
ITALY'S CONTRIBUTION MOD SCI,PHIL,281L,,,Liberal Arts LA,School of Liberal Arts LA,3,990
ENIRONMENTAL LAW,POSC,425L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Environmental Science', '101L', 'Undergraduate', 'C', ''], ['And', '', '', '', 'Political Science', '110L', 'Undergraduate', 'C', '']]",Liberal Arts LA,School of Liberal Arts LA,3,991
GEN CHEM+LAB I,CHEM,131L,,,Science SI,School of Science SI,4,992
VIDEO PRODUCTION,MDIA,203L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '(', '', '', 'Media Studies & Production', '103L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Communication', '103L', 'Undergraduate', 'D', ')']]",Communication and The Arts CO,School Communication Arts CO,3,993
FASH EMPLOY SEM,FASH,400N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Fashion', '100N', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Fashion', '100L', 'Undergraduate', 'D', '']]",Communication and The Arts CO,School Communication Arts CO,1,994
ART & ARCHITECTURE IRELAND,IART,203L,,,Communication and The Arts CO,School Communication Arts CO,3,995
MOD SPEC FICTION,ENG,205L,,,Liberal Arts LA,School of Liberal Arts LA,3,996
WASH SEM I: JOURN I,POSC,440L,,,Liberal Arts LA,School of Liberal Arts LA,4,997
IN ST: SPANISH ART,IART,290L,,,Communication and The Arts CO,School Communication Arts CO,1,998
ENVIRONMENTAL ETHICS,PHIL,301L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Philosophy', '101L', 'Undergraduate', 'D', '']]",Liberal Arts LA,School of Liberal Arts LA,3,999
SOFTWARE SYSTEMS+ANALYSIS,CMPT,230L,,,Computer Science/ Mathematics CC,School Computer Sci/ Math CC,4,1000
WASH SEM II: JOURN II,POSC,441L,,,Liberal Arts LA,School of Liberal Arts LA,4,1001
INTRO TO ATHLETIC TRAIN,ATHT,104N,,,Science SI,School of Science SI,3,1002
ADV PDM SOFTWARE,FASH,415L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Fashion', '300N', 'Undergraduate', 'D', '']]",Communication and The Arts CO,School Communication Arts CO,3,1003
ACTING,MDIA,206L,,,Communication and The Arts CO,School Communication Arts CO,3,1004
WASH SEM:ELECTIVE,POSC,449L,,,Liberal Arts LA,School of Liberal Arts LA,3,1005
PRIN ORGANIC CHEMISTRY,CHEM,201L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Chemistry', '131L', 'Undergraduate', 'D', ''], ['Or', '(', '', '', 'Chemistry', '111L', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Chemistry', '115L', 'Undergraduate', 'D', ')'], ['And', '', '', '', 'Chemistry', '132L', 'Undergraduate', 'D', ''], ['Or', '(', '', '', 'Chemistry', '112L', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Chemistry', '116L', 'Undergraduate', 'D', ')']]",Science SI,School of Science SI,3,1006
MANAGEMENT INFOR SYSTEMS,CMPT,300L,,,Computer Science/ Mathematics CC,School Computer Sci/ Math CC,3,1007
MORAL COGNITION,PHIL,302L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Philosophy', '101L', 'Undergraduate', 'D', '']]",Liberal Arts LA,School of Liberal Arts LA,3,1008
INTERACTIVE MEDIA I,MDIA,210L,,,Communication and The Arts CO,School Communication Arts CO,3,1009
BASIC CONCEPTS ATHT,ATHT,205L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Athletic Training', '104N', 'Undergraduate', 'C', '']]",Science SI,School of Science SI,3,1010
GLOBAL MERCH STRATEGIES,FASH,455N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Fashion', '265N', 'Undergraduate', 'D', '']]",Communication and The Arts CO,School Communication Arts CO,3,1011
AMERICAN LIT I,ENG,210L,,,Liberal Arts LA,School of Liberal Arts LA,3,1012
PRIN ORGANIC CHEM LAB,CHEM,202L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Chemistry', '201L', 'Undergraduate', 'D', '']]",Science SI,School of Science SI,1,1013
BIOETHICS,PHIL,346L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Philosophy', '101L', 'Undergraduate', 'D', '']]",Liberal Arts LA,School of Liberal Arts LA,3,1014
AMERICAN LIT II,ENG,211L,,,Liberal Arts LA,School of Liberal Arts LA,3,1015
THERAP EXERCISE,ATHT,306L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Health Education', '300L', 'Undergraduate', 'C', '']]",Science SI,School of Science SI,3,1016
WASH SEM. I:U.S.,POSC,451L,,,Liberal Arts LA,School of Liberal Arts LA,4,1017
SCREENWRITING FOR FILM+TV,MDIA,301L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Media Studies & Production', '201L', 'Undergraduate', 'D', '']]",Communication and The Arts CO,School Communication Arts CO,3,1018
ENGLISH LIT I,ENG,212L,,,Liberal Arts LA,School of Liberal Arts LA,3,1019
WASH SEM I:ECON,POSC,453L,,,Liberal Arts LA,School of Liberal Arts LA,4,1020
"TECNOLOGY,ETHICS,+SOCIETY",CMPT,305L,,,Computer Science/ Mathematics CC,School Computer Sci/ Math CC,3,1021
ETHICS OF FOOD,PHIL,348L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Philosophy', '101L', 'Undergraduate', 'D', '']]",Liberal Arts LA,School of Liberal Arts LA,3,1022
LOWER BODY/EXREM,ATHT,310L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Athletic Training', '205L', 'Undergraduate', 'C', ''], ['And', '', '', '', 'Biology', '202L', 'Undergraduate', 'C', '']]",Science SI,School of Science SI,3,1023
WASH SEM II:U.S.,POSC,454L,,,Liberal Arts LA,School of Liberal Arts LA,4,1024
ENGLISH LIT II,ENG,213L,,,Liberal Arts LA,School of Liberal Arts LA,3,1025
VIDEO EDITING,MDIA,302N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Communication', '287L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Media Studies & Production', '203L', 'Undergraduate', 'D', '']]",Communication and The Arts CO,School Communication Arts CO,3,1026
FASH MERCH CAPPING,FASH,477L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '(', '', '', 'Fashion', '100N', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Fashion', '100L', 'Undergraduate', 'D', ')'], ['And', '', '', '', 'Fashion', '265N', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Fashion', '300N', 'Undergraduate', 'D', ''], ['And', '(', '', '', 'Communication', '110L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Communication', '220L', 'Undergraduate', 'D', ')']]",Communication and The Arts CO,School Communication Arts CO,3,1027
PHIL CAPPING,PHIL,477L,,,Liberal Arts LA,School of Liberal Arts LA,3,1028
ORGANIC CHEM I,CHEM,211L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '(', '', '', 'Chemistry', '131L', 'Undergraduate', 'C', ''], ['And', '', '', '', 'Chemistry', '132L', 'Undergraduate', 'C', ')'], ['Or', '(', '', '', 'Chemistry', '111L', 'Undergraduate', 'C', ''], ['And', '', '', '', 'Chemistry', '115L', 'Undergraduate', 'C', ')'], ['And', '(', '', '', 'Chemistry', '112L', 'Undergraduate', 'C', ''], ['And', '', '', '', 'Chemistry', '116L', 'Undergraduate', 'C', ')']]",Science SI,School of Science SI,3,1029
DATA COMMUNICATIONS,CMPT,306N,,,Computer Science/ Mathematics CC,School Computer Sci/ Math CC,4,1030
WASH SEM II:ECO.,POSC,456L,,,Liberal Arts LA,School of Liberal Arts LA,4,1031
"GRAMMAR,STYLE,EDITING",ENG,218L,,,Liberal Arts LA,School of Liberal Arts LA,3,1032
RENASSNC THEORY OF LOVE,PHRS,225L,,,Liberal Arts LA,School of Liberal Arts LA,3,1033
ADV ATHLTC TRAIN,ATHT,330L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Athletic Training', '205L', 'Undergraduate', 'C', '']]",Science SI,School of Science SI,3,1034
FASH DES CAP I: PORT DEVEL,FASH,478L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Fashion', '345N', 'Undergraduate', 'C', ''], ['And', '', '', '', 'Fashion', '479L', 'Undergraduate', 'C', '']]",Communication and The Arts CO,School Communication Arts CO,3,1035
LIT & GENDER,ENG,220L,,,Liberal Arts LA,School of Liberal Arts LA,3,1036
WASH RES THESIS,POSC,457L,,,Liberal Arts LA,School of Liberal Arts LA,4,1037
AUDIO PRODUCTION,MDIA,304N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Media Studies & Production', '203L', 'Undergraduate', 'D', '']]",Communication and The Arts CO,School Communication Arts CO,3,1038
BEG CLASS BALLET,PHED,105N,,,Science SI,School of Science SI,1,1039
CLINICL PRACT I,ATHT,395N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Athletic Training', '104L', 'Undergraduate', 'C', '']]",Science SI,School of Science SI,1,1040
CAPPING:LAW+MORALITY,POSC,477L,,,Liberal Arts LA,School of Liberal Arts LA,3,1041
INTERNETWORKING,CMPT,307N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Computing Technology', '306N', 'Undergraduate', 'D', '']]",Computer Science/ Mathematics CC,School Computer Sci/ Math CC,4,1042
GOLF,PHED,120N,,,Science SI,School of Science SI,1,1043
CLINCL PRACT III,ATHT,397N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Athletic Training', '304L', 'Undergraduate', 'D', '']]",Science SI,School of Science SI,1,1044
INTERN IN POL SCI,POSC,491N,,,Liberal Arts LA,School of Liberal Arts LA,2,1045
LIGHTING+CINEMATOGRAPHY,MDIA,305N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Communication', '287L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Media Studies & Production', '203L', 'Undergraduate', 'D', '']]",Communication and The Arts CO,School Communication Arts CO,3,1046
ORG CHEM LAB I,CHEM,215L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Chemistry', '211L', 'Undergraduate', 'D', '']]",Science SI,School of Science SI,1,1047
ARCHERY,PHED,123N,,,Science SI,School of Science SI,1,1048
